SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,27725 N 90th Ln,Peoria,AZ,85383,538000,5,3.0,WESTWING MOUNTAIN PHASE 2 PARCEL 22,2322,7200,2005,5,232,73,Active,,,https://www.redfin.com/AZ/Peoria/27725-N-90th-Ln-85383/home/26930435,ARMLS,6648228,N,Y,33.7352831,-112.2548792
MLS Listing,,Single Family Residential,22780 N 103 Ln,Peoria,AZ,85383,550000,4,2.0,IRONWOOD PHASE 1B MCR 483-21,2472,8531,2000,5,222,45,Active,,,https://www.redfin.com/AZ/Peoria/22780-N-103rd-Ln-85383/home/27781836,ARMLS,6650252,N,Y,33.6908515,-112.2837848
MLS Listing,,Single Family Residential,13232 W Tether Trl,Peoria,AZ,85383,479900,4,2.5,RANCHO CABRILLO PARCEL E REPLAT,2464,5469,2015,7,195,55,Active,,,https://www.redfin.com/AZ/Peoria/13232-W-Tether-Trl-85383/home/27450479,ARMLS,6649029,N,Y,33.723635,-112.345862
MLS Listing,,Single Family Residential,13140 W Avenida Del Rey Ln,Peoria,AZ,85383,528000,4,2.5,RANCHO CABRILLO PARCEL F,2257,6325,2016,15,234,55,Active,,,https://www.redfin.com/AZ/Peoria/13140-W-Avenida-del-Rey-85383/home/27285588,ARMLS,6643664,N,Y,33.716372,-112.344587
MLS Listing,,Single Family Residential,13231 W Creosote Dr,Peoria,AZ,85383,520000,5,3.0,VISTANCIA VILLAGE A PARCEL G10,2439,6095,2007,30,213,107,Active,,,https://www.redfin.com/AZ/Peoria/13231-W-Creosote-Dr-85383/home/28324001,ARMLS,6642135,N,Y,33.766254,-112.3458614
MLS Listing,,Single Family Residential,7062 W Andrew Ln,Peoria,AZ,85383,545000,4,2.5,SONORAN MOUNTAIN RANCH,2378,5500,2006,84,229,40,Active,,,https://www.redfin.com/AZ/Peoria/7062-W-Andrew-Ln-85383/home/27569242,ARMLS,6622810,N,Y,33.7575654,-112.2128106
MLS Listing,,Single Family Residential,12050 W Duane Ln,Peoria,AZ,85383,529000,5,3.0,VISTANCIA,2537,6178,2007,88,209,107,Active,January-20-2024 01:00 PM,January-20-2024 04:00 PM,https://www.redfin.com/AZ/Peoria/12050-W-Duane-Ln-85383/home/28326440,ARMLS,6613555,N,Y,33.7526354,-112.3195502
MLS Listing,,Single Family Residential,8227 W Harmony Ln,Peoria,AZ,85382,529900,4,2.5,FLETCHER HEIGHTS PHASE 1B,2291,6903,1999,98,231,52,Active,,,https://www.redfin.com/AZ/Peoria/8227-W-Harmony-Ln-85382/home/28073830,ARMLS,6616927,N,Y,33.67473,-112.2359168
MLS Listing,,Single Family Residential,13173 W Ranch Gate Rd,Peoria,AZ,85383,550000,4,3.0,RANCHO CABRILLO PARCEL G Q & U PHASE 1,2469,7257,2023,125,223,59,Active,,,https://www.redfin.com/AZ/Peoria/13173-W-Ranch-Gate-Rd-85383/home/177339737,ARMLS,6605950,N,Y,33.7128018,-112.3454889
MLS Listing,,Single Family Residential,13549 W Paso Trl,Peoria,AZ,85383,529900,4,3.0,RANCHO CABRILLO PARCEL B,2258,6900,2017,187,235,55,Active,,,https://www.redfin.com/AZ/Peoria/13549-W-Paso-Trl-85383/home/28381490,ARMLS,6580563,N,Y,33.7204661,-112.3531726
