SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6116 S Calderon --,Mesa,AZ,85212,539990,4,3,DESTINATION AT GATEWAY,2401,6000,2024,1,225,123,Active,,,https://www.redfin.com/AZ/Mesa/6116-S-Calderon-85212/home/189508533,ARMLS,6654797,N,Y,33.3041846,-111.5866103
MLS Listing,,Single Family Residential,1898 S Colt Dr,Gilbert,AZ,85295,550000,4,3.5,LYONS GATE,2398,4920,2008,1,229,70,Active,January-27-2024 08:00 AM,January-27-2024 12:00 PM,https://www.redfin.com/AZ/Gilbert/1898-S-Colt-Dr-85295/home/27507518,ARMLS,6651312,N,Y,33.3160553,-111.7179382
MLS Listing,,Single Family Residential,17030 W Statler St,Surprise,AZ,85388,469950,4,2.5,SURPRISE FARMS PHASE 1-A NORTH PARCEL 3,2717,7475,2004,2,173,47,Active,January-27-2024 10:00 AM,January-27-2024 01:00 PM,https://www.redfin.com/AZ/Surprise/17030-W-Statler-St-85388/home/28037809,ARMLS,6653826,N,Y,33.6326543,-112.4251157
MLS Listing,,Single Family Residential,12855 W Milton Dr,Peoria,AZ,85383,520000,4,3,VISTANCIA VILLAGE A PARCEL A37,2375,7796,2004,5,219,105,Active,,,https://www.redfin.com/AZ/Peoria/12855-W-Milton-Dr-85383/home/28376545,ARMLS,6653167,N,Y,33.7585311,-112.3371997
MLS Listing,,Single Family Residential,27725 N 90th Ln,Peoria,AZ,85383,538000,5,3,WESTWING MOUNTAIN PHASE 2 PARCEL 22,2322,7200,2005,11,232,73,Active,,,https://www.redfin.com/AZ/Peoria/27725-N-90th-Ln-85383/home/26930435,ARMLS,6648228,N,Y,33.7352831,-112.2548792
MLS Listing,,Single Family Residential,13232 W Tether Trl,Peoria,AZ,85383,479900,4,2.5,RANCHO CABRILLO PARCEL E REPLAT,2464,5469,2015,13,195,55,Active,,,https://www.redfin.com/AZ/Peoria/13232-W-Tether-Trl-85383/home/27450479,ARMLS,6649029,Y,Y,33.723635,-112.345862
MLS Listing,,Single Family Residential,11017 E Shepperd Ave,Mesa,AZ,85212,540000,4,2.5,MOUNTAIN HORIZONS UNIT 4,2385,7075,2013,19,226,78,Active,,,https://www.redfin.com/AZ/Mesa/11017-E-Shepperd-Ave-85212/home/28396812,ARMLS,6646558,N,Y,33.3343989,-111.5959943
MLS Listing,,Single Family Residential,13140 W Avenida Del Rey Ln,Peoria,AZ,85383,528000,4,2.5,RANCHO CABRILLO PARCEL F,2257,6325,2016,21,234,55,Active,,,https://www.redfin.com/AZ/Peoria/13140-W-Avenida-del-Rey-85383/home/27285588,ARMLS,6643664,N,Y,33.716372,-112.344587
MLS Listing,,Single Family Residential,4432 S Antonio Cir,Mesa,AZ,85212,549900,5,3.5,MOUNTAIN HORIZONS UNIT 4,2474,9052,2012,33,222,78,Active,,,https://www.redfin.com/AZ/Mesa/4432-S-Antonio-Cir-85212/home/28396678,ARMLS,6642918,N,Y,33.3343885,-111.5932927
